	#code	score
0	1a30	4.86
1	1bcu	3.36
2	1bzc	3.8
3	1c5z	5.58
4	1e66	9.74
5	1eby	9.78
6	1g2k	9.14
7	1gpk	5.3
8	1gpn	7.27
9	1h22	7.87
10	1h23	7.84
11	1k1i	6.78
12	1lpg	8.36
13	1mq6	10.26
14	1nc1	6.01
15	1nc3	7.24
16	1nvq	8.66
17	1o0h	6.67
18	1o3f	8.01
19	1o5b	7.97
20	1owh	7.79
21	1oyt	7.3
22	1p1n	7.38
23	1p1q	6.78
24	1ps3	4.33
25	1pxn	5.61
26	1q8t	5.88
27	1q8u	6.81
28	1qf1	7.08
29	1qkt	5.52
30	1r5y	6.06
31	1s38	5.46
32	1sqa	8.4
33	1syi	7.45
34	1u1b	7.4
35	1uto	4.17
36	1vso	5.51
37	1w4o	5.22
38	1y6r	8.45
39	1yc1	7.82
40	1ydr	6.29
41	1ydt	7.1
42	1z6e	9.35
43	1z95	8.04
44	1z9g	6.37
45	2al5	7.4
46	2br1	6.67
47	2brb	6.53
48	2c3i	7.88
49	2cbv	7.82
50	2cet	7.77
51	2fvd	8.34
52	2fxs	5.66
53	2hb1	4.15
54	2iwx	6.59
55	2j78	7.81
56	2j7h	6.51
57	2p15	9.68
58	2p4y	7.21
59	2pog	6.35
60	2qbp	8.48
61	2qbq	7.25
62	2qbr	6.23
63	2qe4	7.38
64	2qnq	6.75
65	2r9w	4.85
66	2v00	4.94
67	2v7a	7.16
68	2vkm	10.1
69	2vvn	6.62
70	2vw5	7.77
71	2w4x	4.83
72	2w66	5.39
73	2wbg	6.4
74	2wca	7.47
75	2weg	7.02
76	2wer	7.91
77	2wn9	6.61
78	2wnc	6.64
79	2wtv	8.15
80	2wvt	6.37
81	2x00	8.16
82	2xb8	5.41
83	2xbv	8.51
84	2xdl	6.46
85	2xii	8.45
86	2xj7	6.41
87	2xnb	7.19
88	2xys	7.3
89	2y5h	6.65
90	2yfe	6.49
91	2yge	5.47
92	2yki	9.55
93	2ymd	5.03
94	2zb1	7.9
95	2zcq	7.93
96	2zcr	6.45
97	2zda	7.19
98	2zy1	6.69
99	3acw	6.7
100	3ag9	8.72
101	3ao4	3.93
102	3arp	8.55
103	3arq	7.64
104	3aru	5.75
105	3arv	5.3
106	3ary	4.96
107	3b1m	9.5
108	3b27	5.61
109	3b5r	8.74
110	3b65	8.64
111	3b68	8.49
112	3bgz	5.85
113	3bv9	6.62
114	3cj4	4.78
115	3coy	6.59
116	3coz	4.97
117	3d4z	5.63
118	3d6q	3.72
119	3dd0	9.06
120	3dx1	3.24
121	3dx2	5.27
122	3dxg	3.71
123	3e5a	7.86
124	3e92	7.82
125	3e93	8.95
126	3ebp	5.66
127	3ehy	5.4
128	3ejr	8.15
129	3f3a	4.83
130	3f3c	6.17
131	3f3d	7.0
132	3f3e	7.38
133	3fcq	3.91
134	3fur	9.94
135	3fv1	11.36
136	3fv2	8.81
137	3g0w	9.94
138	3g2n	2.45
139	3g2z	3.4
140	3g31	4.44
141	3gbb	7.79
142	3gc5	7.22
143	3ge7	8.56
144	3gnw	9.2
145	3gr2	4.29
146	3gv9	4.23
147	3gy4	4.12
148	3ivg	5.55
149	3jvr	6.18
150	3jvs	6.78
151	3jya	6.57
152	3k5v	6.68
153	3kgp	2.96
154	3kr8	6.37
155	3kwa	4.58
156	3l7b	4.77
157	3lka	2.44
158	3mss	5.6
159	3myg	9.77
160	3n76	6.53
161	3n7a	5.74
162	3n86	6.59
163	3nq9	4.4
164	3nw9	8.75
165	3nx7	7.44
166	3o9i	12.54
167	3oe4	7.63
168	3oe5	7.3
169	3ozs	4.73
170	3ozt	4.74
171	3p5o	6.96
172	3prs	8.12
173	3pww	9.3
174	3pxf	5.41
175	3pyy	7.0
176	3qgy	7.71
177	3qqs	5.32
178	3r88	4.78
179	3rlr	8.4
180	3rr4	6.31
181	3rsx	4.81
182	3ryj	7.63
183	3syr	5.71
184	3tsk	6.28
185	3twp	4.12
186	3u5j	6.33
187	3u8k	8.21
188	3u8n	9.77
189	3u9q	4.42
190	3udh	4.16
191	3ueu	5.58
192	3uev	6.49
193	3uew	6.29
194	3uex	6.58
195	3ui7	6.86
196	3uo4	7.42
197	3up2	7.89
198	3uri	9.16
199	3utu	10.9
200	3uuo	6.23
201	3wtj	5.64
202	3wz8	7.08
203	3zdg	7.85
204	3zso	5.23
205	3zsx	4.59
206	3zt2	3.66
207	4abg	3.77
208	4agn	3.65
209	4agp	4.32
210	4agq	5.13
211	4bkt	4.41
212	4cig	4.08
213	4ciw	5.59
214	4cr9	4.7
215	4cra	8.2
216	4crc	8.62
217	4ddh	5.87
218	4ddk	2.87
219	4de1	5.19
220	4de2	4.67
221	4de3	5.67
222	4djv	6.68
223	4dld	6.61
224	4dli	6.37
225	4e5w	9.03
226	4e6q	7.53
227	4ea2	7.03
228	4eky	7.05
229	4eo8	7.1
230	4eor	7.08
231	4f09	6.63
232	4f2w	10.73
233	4f3c	11.86
234	4f9w	7.25
235	4gfm	7.12
