	#code	score
0	1a30	5.31
1	1bcu	4.17
2	1bzc	5.32
3	1c5z	5.2
4	1e66	8.11
5	1g2k	8.59
6	1gpk	5.28
7	1gpn	6.4
8	1k1i	6.05
9	1lpg	8.64
10	1mq6	8.34
11	1nc1	7.97
12	1nc3	7.68
13	1nvq	7.13
14	1o0h	5.76
15	1o3f	6.51
16	1o5b	6.31
17	1owh	5.31
18	1oyt	6.73
19	1p1n	6.1
20	1p1q	6.24
21	1ps3	4.08
22	1pxn	6.09
23	1q8t	5.41
24	1q8u	6.75
25	1qf1	6.95
26	1qkt	5.34
27	1r5y	5.37
28	1s38	6.24
29	1sqa	6.72
30	1syi	7.33
31	1u1b	4.81
32	1uto	4.36
33	1vso	5.37
34	1w4o	4.9
35	1y6r	9.13
36	1yc1	5.93
37	1ydr	6.31
38	1ydt	8.2
39	1z6e	8.18
40	1z95	9.03
41	1z9g	5.47
42	2al5	6.01
43	2br1	6.35
44	2brb	6.46
45	2c3i	6.62
46	2cbv	6.75
47	2cet	7.52
48	2fvd	7.79
49	2fxs	5.38
50	2hb1	5.29
51	2iwx	6.13
52	2j78	4.82
53	2j7h	5.7
54	2p15	6.77
55	2p4y	6.76
56	2pog	6.71
57	2qbp	6.8
58	2qbq	6.85
59	2qbr	6.48
60	2qe4	6.67
61	2qnq	7.24
62	2r9w	4.49
63	2v00	5.1
64	2v7a	6.93
65	2vkm	9.29
66	2vvn	6.39
67	2vw5	6.13
68	2w4x	6.09
69	2w66	5.8
70	2wbg	6.08
71	2wca	6.83
72	2weg	8.06
73	2wer	6.83
74	2wn9	6.21
75	2wnc	6.58
76	2wtv	6.98
77	2wvt	6.56
78	2x00	7.1
79	2xb8	6.97
80	2xbv	8.51
81	2xdl	5.22
82	2xii	7.63
83	2xj7	5.63
84	2xnb	6.69
85	2xys	6.45
86	2y5h	6.27
87	2yfe	5.94
88	2yge	5.38
89	2yki	8.83
90	2ymd	6.0
91	2zb1	6.8
92	2zcq	8.66
93	2zcr	7.41
94	2zda	6.57
95	2zy1	5.42
96	3acw	6.63
97	3ag9	7.57
98	3ao4	4.88
99	3arp	8.54
100	3arq	5.89
101	3aru	5.82
102	3arv	6.69
103	3ary	6.7
104	3b1m	8.33
105	3b27	5.35
106	3b5r	10.26
107	3b65	9.01
108	3b68	8.72
109	3bgz	6.12
110	3bv9	6.55
111	3cj4	6.2
112	3coy	5.86
113	3coz	5.62
114	3d4z	5.86
115	3d6q	4.34
116	3dd0	10.13
117	3dx1	5.35
118	3dx2	6.73
119	3dxg	3.87
120	3e5a	7.58
121	3e92	6.97
122	3e93	8.14
123	3ebp	7.46
124	3ehy	6.15
125	3ejr	7.77
126	3f3a	4.88
127	3f3c	5.79
128	3f3d	5.28
129	3f3e	5.27
130	3fcq	5.06
131	3fur	8.87
132	3fv1	9.26
133	3fv2	7.71
134	3g0w	8.92
135	3g2n	4.96
136	3g2z	4.0
137	3g31	4.36
138	3gbb	7.89
139	3gc5	7.44
140	3ge7	7.36
141	3gnw	8.46
142	3gr2	4.46
143	3gv9	3.45
144	3gy4	4.84
145	3ivg	5.38
146	3jvr	6.52
147	3jvs	5.94
148	3jya	5.36
149	3k5v	6.22
150	3kgp	3.77
151	3kr8	7.1
152	3kwa	4.16
153	3l7b	4.82
154	3lka	5.26
155	3mss	5.77
156	3myg	7.12
157	3n76	6.72
158	3n7a	5.53
159	3n86	7.05
160	3nq9	4.35
