	#code	score
0	1a30	5.0
1	1bcu	3.68
2	1bzc	4.36
3	1c5z	4.79
4	1e66	8.6
5	1g2k	8.12
6	1gpk	5.42
7	1gpn	6.33
8	1k1i	7.19
9	1lpg	7.14
10	1mq6	9.94
11	1nc1	6.81
12	1nc3	7.83
13	1nvq	7.47
14	1o0h	6.73
15	1o3f	6.69
16	1o5b	5.82
17	1owh	6.6
18	1oyt	7.18
19	1p1n	7.17
20	1p1q	5.45
21	1ps3	3.54
22	1pxn	6.19
23	1q8t	5.11
24	1q8u	6.49
25	1qf1	7.2
26	1qkt	5.63
27	1r5y	6.16
28	1s38	5.58
29	1sqa	7.45
30	1syi	6.89
31	1u1b	5.11
32	1uto	4.09
33	1vso	5.71
34	1w4o	5.32
35	1y6r	8.32
36	1yc1	7.82
37	1ydr	5.19
38	1ydt	6.52
39	1z6e	9.44
40	1z95	8.83
41	1z9g	6.11
42	2al5	6.45
43	2br1	6.47
44	2brb	6.4
45	2c3i	7.33
46	2cbv	5.46
47	2cet	7.01
48	2fvd	7.85
49	2fxs	4.53
50	2hb1	5.31
51	2iwx	6.84
52	2j78	6.11
53	2j7h	5.66
54	2p15	7.38
55	2p4y	6.69
56	2pog	5.42
57	2qbp	7.79
58	2qbq	7.75
59	2qbr	6.36
60	2qe4	6.97
61	2qnq	6.25
62	2r9w	3.9
63	2v00	4.54
64	2v7a	6.39
65	2vkm	10.09
66	2vvn	6.28
67	2vw5	7.58
68	2w4x	4.95
69	2w66	4.92
70	2wbg	6.51
71	2wca	6.57
72	2weg	6.48
73	2wer	7.11
74	2wn9	5.81
75	2wnc	6.57
76	2wtv	8.08
77	2wvt	7.33
78	2x00	8.14
79	2xb8	7.37
80	2xbv	8.74
81	2xdl	5.63
82	2xii	9.06
83	2xj7	5.75
84	2xnb	6.57
85	2xys	6.82
86	2y5h	6.68
87	2yfe	6.03
88	2yge	4.34
89	2yki	9.11
90	2ymd	4.75
91	2zb1	6.8
92	2zcq	7.82
93	2zcr	6.83
94	2zda	7.02
95	2zy1	6.54
96	3acw	6.29
97	3ag9	8.11
98	3ao4	4.75
99	3arp	8.86
100	3arq	7.8
101	3aru	6.11
102	3arv	5.74
103	3ary	6.41
104	3b1m	8.52
105	3b27	6.2
106	3b5r	8.16
107	3b65	8.71
108	3b68	7.97
109	3bgz	5.92
110	3bv9	5.59
111	3cj4	5.74
112	3coy	6.11
113	3coz	5.55
114	3d4z	5.22
115	3d6q	4.12
116	3dd0	8.94
117	3dx1	5.65
118	3dx2	7.66
119	3dxg	3.86
120	3e5a	7.57
121	3e92	7.67
122	3e93	7.37
123	3ebp	6.65
124	3ehy	6.36
125	3ejr	8.22
126	3f3a	4.73
127	3f3c	6.6
128	3f3d	6.69
129	3f3e	6.19
130	3fcq	4.66
131	3fur	8.48
132	3fv1	10.48
133	3fv2	8.6
134	3g0w	9.11
135	3g2n	3.78
136	3g2z	3.66
137	3g31	4.44
138	3gbb	7.42
139	3gc5	6.36
140	3ge7	7.93
141	3gnw	7.51
142	3gr2	4.65
143	3gv9	3.94
144	3gy4	4.4
145	3ivg	5.49
146	3jvr	6.05
147	3jvs	6.54
148	3jya	6.08
149	3k5v	7.32
150	3kgp	3.12
151	3kr8	6.04
152	3kwa	5.44
153	3l7b	4.16
154	3lka	4.64
155	3mss	5.89
156	3myg	8.95
157	3n76	5.94
158	3n7a	6.43
159	3n86	7.36
160	3nq9	3.97
161	3nw9	8.43
162	3nx7	7.66
163	3o9i	12.12
164	3oe4	6.89
165	3oe5	7.71
166	3ozs	5.9
167	3ozt	5.1
168	3p5o	7.3
169	3prs	8.28
170	3pww	8.61
171	3pxf	3.81
172	3pyy	6.09
173	3qgy	7.0
174	3qqs	5.14
175	3r88	4.64
176	3rlr	8.13
177	3rr4	6.05
178	3rsx	5.05
179	3ryj	7.83
180	3syr	4.9
181	3tsk	6.34
182	3twp	3.53
183	3u5j	5.97
184	3u8k	6.72
185	3u8n	9.6
186	3u9q	4.85
187	3udh	5.16
188	3ueu	5.25
189	3uev	5.82
190	3uew	6.08
191	3uex	6.46
192	3ui7	6.19
193	3uo4	6.73
194	3up2	7.02
195	3uri	8.18
196	3utu	11.29
197	3uuo	5.47
198	3wtj	5.88
199	3wz8	7.26
200	3zdg	6.07
201	3zso	5.29
202	3zsx	4.29
203	3zt2	4.22
204	4abg	4.32
205	4agn	3.7
206	4agp	4.54
207	4agq	4.69
208	4bkt	4.45
209	4cig	5.34
210	4ciw	4.96
211	4cr9	4.67
212	4cra	6.94
213	4crc	8.74
214	4ddh	4.61
215	4ddk	3.77
216	4de1	5.13
217	4de2	4.42
218	4de3	3.06
219	4djv	6.92
220	4dld	6.2
221	4dli	6.02
222	4e5w	6.73
223	4e6q	6.88
224	4ea2	7.27
225	4eky	5.54
226	4eo8	6.84
227	4eor	8.03
228	4f09	6.13
229	4f2w	10.2
230	4f3c	11.49
231	4gfm	7.48
232	4gid	9.76
233	4gkm	5.83
234	4gr0	10.7
235	4hge	6.3
236	4ih5	4.49
237	4ih7	4.5
238	4ivb	8.65
239	4ivc	9.79
240	4ivd	9.91
241	4j21	6.36
242	4j28	6.18
243	4j3l	7.11
244	4jfs	6.55
245	4jia	7.99
246	4jsz	2.89
247	4jxs	5.98
248	4k18	8.2
249	4k77	5.77
