	#code	score
0	1a30	4.71
1	1bcu	3.7
2	1bzc	4.54
3	1c5z	5.28
4	1e66	10.49
5	1g2k	8.0
6	1gpk	4.99
7	1gpn	6.4
8	1k1i	6.54
9	1lpg	7.32
10	1mq6	10.83
11	1nc1	6.67
12	1nc3	7.95
13	1nvq	8.78
14	1o0h	6.35
15	1o3f	7.8
16	1o5b	6.86
17	1owh	7.46
18	1oyt	7.08
19	1p1n	7.18
20	1p1q	5.63
21	1ps3	2.8
22	1pxn	5.64
23	1q8t	5.43
24	1q8u	6.79
25	1qf1	6.87
26	1qkt	5.85
27	1r5y	6.33
28	1s38	5.5
29	1sqa	7.82
30	1syi	7.15
31	1u1b	9.68
32	1uto	4.02
33	1vso	5.95
34	1w4o	5.87
35	1y6r	8.82
36	1yc1	7.64
37	1ydr	5.91
38	1ydt	7.28
39	1z6e	9.56
40	1z95	7.82
41	1z9g	6.38
42	2al5	7.39
43	2br1	6.61
44	2brb	6.42
45	2c3i	7.58
46	2cbv	6.95
47	2cet	7.35
48	2fvd	8.47
49	2fxs	6.0
50	2hb1	4.73
51	2iwx	7.04
52	2j78	7.45
53	2j7h	6.63
54	2p15	8.93
55	2p4y	7.45
56	2pog	6.27
57	2qbp	7.88
58	2qbq	7.03
59	2qbr	6.66
60	2qe4	6.66
61	2qnq	6.14
62	2r9w	4.72
63	2v00	4.96
64	2v7a	6.76
65	2vkm	9.84
66	2vvn	6.6
67	2vw5	7.63
68	2w4x	4.97
69	2w66	5.19
70	2wbg	5.7
71	2wca	6.71
72	2weg	6.25
73	2wer	8.02
74	2wn9	6.92
75	2wnc	6.76
76	2wtv	7.61
77	2wvt	7.24
78	2x00	8.79
79	2xb8	5.31
80	2xbv	8.9
81	2xdl	5.68
82	2xii	7.87
83	2xj7	5.6
84	2xnb	6.61
85	2xys	7.42
86	2y5h	6.43
87	2yfe	6.53
88	2yge	4.59
89	2yki	8.63
90	2ymd	5.7
91	2zb1	7.19
92	2zcq	8.66
93	2zcr	7.46
94	2zda	7.14
95	2zy1	6.15
96	3acw	6.37
97	3ag9	8.97
98	3ao4	4.07
99	3arp	8.22
100	3arq	7.18
101	3aru	5.4
102	3arv	5.58
103	3ary	5.9
104	3b1m	8.36
105	3b27	6.34
106	3b5r	8.01
107	3b65	8.97
108	3b68	7.96
109	3bgz	5.96
110	3bv9	5.44
111	3cj4	6.35
112	3coy	6.51
113	3coz	5.0
114	3d4z	5.27
115	3d6q	4.19
116	3dd0	9.36
117	3dx1	2.48
118	3dx2	4.61
119	3dxg	4.05
120	3e5a	7.6
121	3e92	8.29
122	3e93	8.21
123	3ebp	5.72
124	3ehy	5.4
125	3ejr	6.63
126	3f3a	3.49
127	3f3c	6.22
128	3f3d	7.26
129	3f3e	6.89
130	3fcq	4.62
131	3fur	9.72
132	3fv1	11.13
133	3fv2	8.33
134	3g0w	9.25
135	3g2n	2.09
136	3g2z	3.23
137	3g31	4.36
138	3gbb	7.24
139	3gc5	7.44
140	3ge7	8.73
141	3gnw	9.22
142	3gr2	3.7
143	3gv9	3.53
144	3gy4	4.98
145	3ivg	4.23
146	3jvr	5.27
147	3jvs	6.71
148	3jya	6.19
149	3k5v	6.22
150	3kgp	3.07
151	3kr8	6.68
152	3kwa	5.06
153	3l7b	4.54
154	3lka	2.26
155	3mss	5.57
156	3myg	9.99
157	3n76	5.99
158	3n7a	5.77
159	3n86	6.21
160	3nq9	4.12
161	3nw9	6.47
162	3nx7	7.64
163	3o9i	12.07
164	3oe4	7.63
165	3oe5	7.08
166	3ozs	5.33
167	3ozt	4.71
168	3p5o	7.48
169	3prs	7.77
170	3pww	8.18
171	3pxf	4.48
172	3pyy	6.41
173	3qgy	7.05
174	3qqs	5.05
175	3r88	4.41
176	3rlr	8.23
177	3rr4	5.83
178	3rsx	4.94
179	3ryj	7.69
180	3syr	6.35
181	3tsk	4.47
182	3twp	3.73
183	3u5j	6.27
184	3u8k	7.72
185	3u8n	10.37
186	3u9q	4.39
187	3udh	4.77
188	3ueu	5.52
189	3uev	6.62
190	3uew	6.13
191	3uex	6.92
192	3ui7	6.94
193	3uo4	7.11
194	3up2	7.62
195	3uri	9.48
196	3utu	10.42
197	3uuo	6.43
198	3wtj	5.44
199	3wz8	7.56
200	3zdg	6.73
201	3zso	4.75
202	3zsx	3.77
203	3zt2	3.64
204	4abg	4.27
205	4agn	3.89
206	4agp	5.03
207	4agq	5.0
208	4bkt	4.47
209	4cig	4.83
