     code  logKa  score
1    4llx   2.89   4.10
2    5c28   5.66   5.25
3    3uuo   7.96   5.80
4    3ui7   9.00   6.23
5    5c2h  11.09   6.84
6    2v00   3.66   6.37
7    3wz8   5.82   7.35
8    3pww   7.32   8.62
9    3prs   7.82   9.00
10   3uri   9.00   8.10
11   4m0z   5.19   6.76
12   4m0y   6.46   5.03
13   3qgy   7.80   6.53
14   4qd6   8.64   6.70
15   4rfm  10.05   8.92
16   4cr9   4.10   4.00
17   4cra   7.22   8.10
18   4x6p   8.30   8.94
19   4crc   8.72   8.84
20   4ty7   9.52   6.22
21   5aba   2.98   6.14
22   5a7b   3.57   7.52
23   4agn   3.97   4.69
24   4agp   4.69   5.96
25   4agq   5.01   5.47
26   3bgz   6.26   5.94
27   3jya   6.89   4.66
28   2c3i   7.60   7.17
29   4k18   8.96   6.76
30   5dwr  11.22   7.36
31   3mss   4.66   5.78
32   3k5v   6.30   6.64
33   3pyy   6.86   6.44
34   2v7a   8.30   6.89
35   4twp  10.00   8.34
36   3wtj   6.53   6.92
37   3zdg   7.10   6.40
38   3u8k   8.66   6.69
39   4qac   9.40   7.96
40   3u8n  10.17   7.40
41   1a30   4.30   6.12
42   2qnq   6.11   7.30
43   1g2k   7.96   8.51
44   1eby   9.70   9.56
45   3o9i  11.82  11.40
46   4lzs   4.80   5.46
47   3u5j   5.61   6.59
48   4wiv   6.26   6.38
49   4ogj   6.79   6.42
50   3p5o   7.30   6.78
51   1ps3   2.28   4.45
52   3dx1   3.58   5.96
53   3d4z   4.89   5.42
54   3dx2   6.82   7.04
55   3ejr   8.57   7.18
56   3l7b   2.40   4.56
57   4eky   3.52   5.38
58   3g2n   4.09   4.99
59   3syr   5.10   6.18
60   3ebp   5.91   6.11
61   2w66   4.05   5.85
62   2w4x   4.85   4.74
63   2wca   5.60   6.81
64   2xj7   6.66   6.11
65   2vvn   7.30   7.30
66   3aru   3.22   6.04
67   3arv   5.64   6.12
68   3ary   6.00   5.44
69   3arq   6.40   6.34
70   3arp   7.15   9.00
71   4ih5   4.11   5.07
72   4ih7   5.24   5.38
73   3cj4   6.51   5.44
74   4eo8   8.15   6.50
75   3gnw   9.10   6.56
76   1gpk   5.37   6.12
77   1gpn   6.48   6.93
78   1h23   8.35   8.94
79   1h22   9.10   8.73
80   1e66   9.89   8.21
81   3f3a   4.19   6.14
82   3f3c   6.02   6.40
83   4mme   6.50   6.40
84   3f3d   7.16   5.75
85   3f3e   7.70   6.14
86   2wbg   4.45   7.14
87   2cbv   5.48   6.12
88   2j78   6.42   6.14
89   2j7h   7.19   6.39
90   2cet   8.02   8.18
91   3udh   2.85   4.92
92   3rsx   4.41   7.30
93   4djv   6.72   7.55
94   2vkm   8.74   9.83
95   4gid  10.77   8.53
96   4jfs   5.27   6.56
97   4j28   5.70   6.46
98   2wvt   6.12   6.31
99   2xii   7.20   8.59
100  4pcs   7.85   7.23
101  3rr4   4.55   6.56
102  1s38   5.15   6.47
103  1r5y   6.46   6.62
104  3gc5   7.26   7.33
105  3ge7   8.70   7.61
106  4dli   5.62   6.08
107  2zb1   6.32   7.21
108  4f9w   6.94   6.51
109  3e92   8.00   7.78
