     code  logKa  score
1    4llx   2.89   4.44
2    5c28   5.66   5.47
3    3uuo   7.96   5.73
4    3ui7   9.00   6.21
5    5c2h  11.09   6.52
6    2v00   3.66   5.74
7    3wz8   5.82   7.91
8    3pww   7.32   7.99
9    3prs   7.82   7.89
10   3uri   9.00   7.31
11   4m0z   5.19   6.45
12   4m0y   6.46   5.43
13   3qgy   7.80   7.16
14   4qd6   8.64   7.06
15   4rfm  10.05   7.50
16   4cr9   4.10   3.80
17   4cra   7.22   8.74
18   4x6p   8.30   9.35
19   4crc   8.72   9.52
20   4ty7   9.52   6.04
21   5aba   2.98   6.50
22   5a7b   3.57  10.84
23   4agn   3.97   5.97
24   4agp   4.69   7.63
25   4agq   5.01   7.47
26   3bgz   6.26   5.91
27   3jya   6.89   5.39
28   2c3i   7.60   6.81
29   4k18   8.96   7.52
30   5dwr  11.22   6.85
31   3mss   4.66   6.21
32   3k5v   6.30   7.25
33   3pyy   6.86   6.92
34   2v7a   8.30   6.63
35   4twp  10.00   7.69
36   3wtj   6.53   6.88
37   3zdg   7.10   6.52
38   3u8k   8.66   6.86
39   4qac   9.40   7.19
40   3u8n  10.17   7.19
41   1a30   4.30   5.19
42   2qnq   6.11   7.58
43   1g2k   7.96   8.95
44   1eby   9.70  10.55
45   3o9i  11.82  11.62
46   4lzs   4.80   5.05
47   3u5j   5.61   6.61
48   4wiv   6.26   6.42
49   4ogj   6.79   6.59
50   3p5o   7.30   6.82
51   1ps3   2.28   4.24
52   3dx1   3.58   6.15
53   3d4z   4.89   5.03
54   3dx2   6.82   7.44
55   3ejr   8.57   7.27
56   3l7b   2.40   5.55
57   4eky   3.52   6.46
58   3g2n   4.09   5.53
59   3syr   5.10   6.01
60   3ebp   5.91   6.97
61   2w66   4.05   5.19
62   2w4x   4.85   4.91
63   2wca   5.60   6.43
64   2xj7   6.66   6.05
65   2vvn   7.30   6.89
66   3aru   3.22   6.29
67   3arv   5.64   6.62
68   3ary   6.00   5.92
69   3arq   6.40   7.00
70   3arp   7.15   9.29
71   4ih5   4.11   4.95
72   4ih7   5.24   5.14
73   3cj4   6.51   5.34
74   4eo8   8.15   8.26
75   3gnw   9.10   8.06
76   1gpk   5.37   5.67
77   1gpn   6.48   7.07
78   1h23   8.35   8.64
79   1h22   9.10   8.41
80   1e66   9.89   8.63
81   3f3a   4.19   6.59
82   3f3c   6.02   6.12
83   4mme   6.50   6.61
84   3f3d   7.16   5.98
85   3f3e   7.70   5.91
86   2wbg   4.45   7.21
87   2cbv   5.48   6.06
88   2j78   6.42   6.33
89   2j7h   7.19   5.78
90   2cet   8.02   7.74
91   3udh   2.85   5.19
92   3rsx   4.41   7.00
93   4djv   6.72   7.27
94   2vkm   8.74  10.21
95   4gid  10.77   8.64
96   4jfs   5.27   6.05
97   4j28   5.70   6.35
98   2wvt   6.12   5.22
99   2xii   7.20   8.51
100  4pcs   7.85   6.62
101  3rr4   4.55   6.52
102  1s38   5.15   6.37
