     code  logKa  score
1    4llx   2.89   4.48
2    5c28   5.66   5.58
3    3uuo   7.96   5.83
4    3ui7   9.00   6.20
5    5c2h  11.09   6.64
6    2v00   3.66   5.90
7    3wz8   5.82   7.01
8    3pww   7.32   7.89
9    3prs   7.82   8.21
10   3uri   9.00   8.09
11   4m0z   5.19   6.59
12   4m0y   6.46   5.23
13   3qgy   7.80   6.79
14   4qd6   8.64   6.62
15   4rfm  10.05   7.89
16   4cr9   4.10   4.36
17   4cra   7.22   7.56
18   4x6p   8.30   8.75
19   4crc   8.72   8.24
20   4ty7   9.52   6.04
21   5aba   2.98   6.91
22   5a7b   3.57   6.58
23   4agn   3.97   4.41
24   4agp   4.69   5.27
25   4agq   5.01   4.95
26   3bgz   6.26   6.33
27   3jya   6.89   5.31
28   2c3i   7.60   6.62
29   4k18   8.96   7.15
30   5dwr  11.22   6.90
31   3mss   4.66   5.93
32   3k5v   6.30   6.70
33   3pyy   6.86   6.25
34   2v7a   8.30   6.50
35   4twp  10.00   7.72
36   3wtj   6.53   5.42
37   3zdg   7.10   6.25
38   3u8k   8.66   6.48
39   4qac   9.40   7.27
40   3u8n  10.17   7.90
41   1a30   4.30   6.91
42   2qnq   6.11   7.63
43   1g2k   7.96   8.67
44   1eby   9.70   9.93
45   3o9i  11.82  11.66
46   4lzs   4.80   4.97
47   3u5j   5.61   6.69
48   4wiv   6.26   6.42
49   4ogj   6.79   6.27
50   3p5o   7.30   7.09
51   1ps3   2.28   4.50
52   3dx1   3.58   6.84
53   3d4z   4.89   6.53
54   3dx2   6.82   7.83
55   3ejr   8.57   8.42
56   3l7b   2.40   4.24
57   4eky   3.52   6.10
58   3g2n   4.09   5.03
59   3syr   5.10   5.99
60   3ebp   5.91   6.98
61   2w66   4.05   5.95
62   2w4x   4.85   5.01
63   2wca   5.60   6.46
64   2xj7   6.66   6.42
65   2vvn   7.30   6.70
66   3aru   3.22   5.65
67   3arv   5.64   6.36
68   3ary   6.00   5.86
69   3arq   6.40   6.64
70   3arp   7.15   8.67
71   4ih5   4.11   4.82
72   4ih7   5.24   5.05
73   3cj4   6.51   5.19
74   4eo8   8.15   6.57
75   3gnw   9.10   7.71
76   1gpk   5.37   5.55
77   1gpn   6.48   6.34
78   1h23   8.35   8.62
79   1h22   9.10   8.24
80   1e66   9.89   7.49
81   3f3a   4.19   4.61
82   3f3c   6.02   4.51
83   4mme   6.50   5.92
84   3f3d   7.16   4.60
85   3f3e   7.70   3.88
86   2wbg   4.45   7.37
87   2cbv   5.48   7.22
88   2j78   6.42   5.68
89   2j7h   7.19   6.33
90   2cet   8.02   8.55
91   3udh   2.85   5.21
