     code  logKa  score
1    4llx   2.89   3.66
2    5c28   5.66   5.74
3    3uuo   7.96   5.77
4    3ui7   9.00   5.94
5    5c2h  11.09   6.42
6    2v00   3.66   5.88
7    3wz8   5.82   7.52
8    3pww   7.32   8.02
9    3prs   7.82   9.63
10   3uri   9.00   7.71
11   4m0z   5.19   6.26
12   4m0y   6.46   5.44
13   3qgy   7.80   6.95
14   4qd6   8.64   6.88
15   4rfm  10.05   8.70
16   4cr9   4.10   4.01
17   4cra   7.22   8.13
18   4x6p   8.30   8.22
19   4crc   8.72   8.04
20   4ty7   9.52   6.32
21   5aba   2.98   6.41
22   5a7b   3.57   7.78
23   4agn   3.97   5.26
24   4agp   4.69   5.96
25   4agq   5.01   5.93
26   3bgz   6.26   5.73
27   3jya   6.89   5.27
28   2c3i   7.60   6.66
29   4k18   8.96   7.08
30   5dwr  11.22   6.38
31   3mss   4.66   5.68
32   3k5v   6.30   6.95
33   3pyy   6.86   6.12
34   2v7a   8.30   6.68
35   4twp  10.00   7.48
36   3wtj   6.53   5.72
37   3zdg   7.10   5.95
38   3u8k   8.66   6.34
39   4qac   9.40   7.32
40   3u8n  10.17   6.88
41   1a30   4.30   6.29
42   2qnq   6.11   6.74
43   1g2k   7.96   9.11
44   1eby   9.70   9.44
45   3o9i  11.82  11.38
46   4lzs   4.80   5.19
47   3u5j   5.61   6.87
48   4wiv   6.26   6.56
49   4ogj   6.79   6.56
50   3p5o   7.30   6.83
51   1ps3   2.28   4.65
52   3dx1   3.58   6.84
53   3d4z   4.89   5.93
54   3dx2   6.82   7.54
55   3ejr   8.57   7.64
56   3l7b   2.40   4.65
57   4eky   3.52   5.29
58   3g2n   4.09   5.19
59   3syr   5.10   5.55
60   3ebp   5.91   6.12
61   2w66   4.05   5.78
62   2w4x   4.85   5.42
63   2wca   5.60   6.34
64   2xj7   6.66   6.10
65   2vvn   7.30   7.50
66   3aru   3.22   6.01
67   3arv   5.64   6.64
68   3ary   6.00   5.47
69   3arq   6.40   5.57
70   3arp   7.15   9.56
71   4ih5   4.11   5.12
72   4ih7   5.24   5.54
73   3cj4   6.51   4.81
74   4eo8   8.15   5.93
75   3gnw   9.10   8.04
76   1gpk   5.37   5.97
77   1gpn   6.48   6.83
78   1h23   8.35   8.70
79   1h22   9.10   8.70
80   1e66   9.89   8.21
81   3f3a   4.19   6.04
82   3f3c   6.02   6.04
83   4mme   6.50   6.26
84   3f3d   7.16   6.04
85   3f3e   7.70   5.77
86   2wbg   4.45   6.57
87   2cbv   5.48   7.28
88   2j78   6.42   5.57
89   2j7h   7.19   6.75
90   2cet   8.02   9.01
91   3udh   2.85   5.33
92   3rsx   4.41   7.00
93   4djv   6.72   6.68
94   2vkm   8.74   8.56
95   4gid  10.77   8.35
96   4jfs   5.27   6.73
97   4j28   5.70   6.54
98   2wvt   6.12   7.03
99   2xii   7.20   8.73
100  4pcs   7.85   6.84
101  3rr4   4.55   7.28
102  1s38   5.15   6.10
103  1r5y   6.46   7.24
104  3gc5   7.26   7.23
105  3ge7   8.70   7.48
106  4dli   5.62   5.74
107  2zb1   6.32   7.47
108  4f9w   6.94   6.60
109  3e92   8.00   7.19
110  3e93   8.85   7.85
111  4owm   2.96   3.50
112  3twp   3.92   3.47
113  3r88   4.82   3.99
114  4gkm   5.17   4.84
115  3qqs   5.82   4.70
116  3gv9   2.12   4.61
117  3gr2   2.52   4.74
118  4kz6   3.10   4.89
119  4jxs   4.74   5.41
120  2r9w   5.10   5.19
121  2hb1   3.80   5.97
122  1bzc   4.92   4.44
123  2qbr   6.33   6.95
124  2qbq   7.44   5.74
125  2qbp   8.40   6.87
126  1q8t   4.76   5.60
127  1ydr   5.52   6.42
128  1q8u   5.96   6.89
129  1ydt   7.32   7.09
130  3ag9   8.05   7.49
131  3fcq   2.77   4.73
132  1z9g   5.64   5.92
133  1qf1   7.32   6.78
134  5tmn   8.04   6.55
135  4tmn  10.17   7.36
136  4ddk   2.29   3.60
137  4ddh   3.32   4.71
138  3ivg   4.30   5.67
139  3coz   5.57   5.85
140  3coy   6.02   6.40
