     code  logKa  score
1    4llx   2.89   4.25
2    5c28   5.66   5.30
3    3uuo   7.96   5.69
4    3ui7   9.00   6.73
5    5c2h  11.09   7.06
6    2v00   3.66   6.34
7    3wz8   5.82   8.01
8    3pww   7.32   8.64
9    3prs   7.82   9.88
10   3uri   9.00   9.06
11   4m0z   5.19   7.41
12   4m0y   6.46   5.43
13   3qgy   7.80   6.53
14   4qd6   8.64   6.81
15   4rfm  10.05   9.31
16   4cr9   4.10   3.80
17   4cra   7.22   9.08
18   4x6p   8.30   9.58
19   4crc   8.72   9.33
20   4ty7   9.52   6.84
21   5aba   2.98   6.10
22   5a7b   3.57   8.51
23   4agn   3.97   5.58
24   4agp   4.69   6.48
25   4agq   5.01   6.98
26   3bgz   6.26   5.96
27   3jya   6.89   4.47
28   2c3i   7.60   7.50
29   4k18   8.96   6.99
30   5dwr  11.22   7.24
31   3mss   4.66   5.86
32   3k5v   6.30   6.71
33   3pyy   6.86   6.80
34   2v7a   8.30   7.36
35   4twp  10.00   9.27
36   3wtj   6.53   6.73
37   3zdg   7.10   6.61
38   3u8k   8.66   6.80
39   4qac   9.40   7.47
40   3u8n  10.17   8.01
41   1a30   4.30   6.29
42   2qnq   6.11   7.56
43   1g2k   7.96   9.28
44   1eby   9.70   9.50
45   3o9i  11.82  12.53
46   4lzs   4.80   5.71
47   3u5j   5.61   6.80
48   4wiv   6.26   6.45
49   4ogj   6.79   6.43
50   3p5o   7.30   6.56
51   1ps3   2.28   4.22
52   3dx1   3.58   5.90
53   3d4z   4.89   4.84
54   3dx2   6.82   8.12
55   3ejr   8.57   7.24
56   3l7b   2.40   4.65
57   4eky   3.52   6.97
58   3g2n   4.09   4.92
59   3syr   5.10   6.22
60   3ebp   5.91   6.35
61   2w66   4.05   5.85
62   2w4x   4.85   4.73
63   2wca   5.60   6.93
64   2xj7   6.66   6.56
65   2vvn   7.30   7.31
66   3aru   3.22   6.36
67   3arv   5.64   6.23
68   3ary   6.00   5.90
69   3arq   6.40   7.05
70   3arp   7.15   9.19
71   4ih5   4.11   5.24
72   4ih7   5.24   5.72
73   3cj4   6.51   5.86
74   4eo8   8.15   7.03
75   3gnw   9.10   6.84
76   1gpk   5.37   6.10
77   1gpn   6.48   7.46
78   1h23   8.35   8.97
79   1h22   9.10   8.73
80   1e66   9.89   8.42
81   3f3a   4.19   6.42
82   3f3c   6.02   6.66
83   4mme   6.50   6.92
84   3f3d   7.16   5.74
85   3f3e   7.70   5.81
86   2wbg   4.45   7.74
87   2cbv   5.48   6.11
88   2j78   6.42   6.68
89   2j7h   7.19   7.43
90   2cet   8.02   8.68
91   3udh   2.85   5.07
92   3rsx   4.41   7.90
93   4djv   6.72   8.04
94   2vkm   8.74  10.86
95   4gid  10.77   9.90
96   4jfs   5.27   6.83
97   4j28   5.70   6.35
98   2wvt   6.12   6.58
99   2xii   7.20   9.17
100  4pcs   7.85   7.49
101  3rr4   4.55   6.97
102  1s38   5.15   6.62
103  1r5y   6.46   6.21
104  3gc5   7.26   7.83
105  3ge7   8.70   8.01
106  4dli   5.62   6.12
107  2zb1   6.32   7.65
108  4f9w   6.94   6.59
109  3e92   8.00   8.32
110  3e93   8.85   8.95
111  4owm   2.96   3.27
112  3twp   3.92   3.66
113  3r88   4.82   4.12
114  4gkm   5.17   5.46
115  3qqs   5.82   4.78
116  3gv9   2.12   4.67
117  3gr2   2.52   4.53
118  4kz6   3.10   4.98
119  4jxs   4.74   6.08
120  2r9w   5.10   5.36
121  2hb1   3.80   5.24
122  1bzc   4.92   5.07
123  2qbr   6.33   6.42
124  2qbq   7.44   5.82
125  2qbp   8.40   6.03
126  1q8t   4.76   5.79
127  1ydr   5.52   6.28
128  1q8u   5.96   6.89
129  1ydt   7.32   6.92
130  3ag9   8.05   8.14
131  3fcq   2.77   5.95
132  1z9g   5.64   6.41
133  1qf1   7.32   7.41
134  5tmn   8.04   6.75
135  4tmn  10.17   6.97
136  4ddk   2.29   4.20
137  4ddh   3.32   5.14
138  3ivg   4.30   6.78
139  3coz   5.57   6.60
140  3coy   6.02   6.86
141  3pxf   4.43   4.90
142  4eor   6.30   8.22
143  2xnb   6.83   6.84
144  1pxn   7.15   6.18
145  2fvd   8.52   7.85
146  4k77   6.63   6.16
147  4e5w   7.66   8.34
148  4ivb   8.72   7.49
149  4ivd   9.52   7.83
150  4ivc  10.00   9.26
151  4f09   6.70   6.28
152  4gfm   7.22   7.86
153  4hge   7.92   7.94
154  4e6q   8.36   6.95
155  4jia   9.22   6.83
156  2brb   4.86   6.97
157  2br1   5.14   6.75
158  3jvr   5.72   6.67
159  3jvs   6.54   6.20
160  1nvq   8.25   8.59
161  3acw   4.76   5.90
162  4ea2   6.44   7.54
163  2zcr   6.87   6.40
164  2zy1   7.40   6.17
165  2zcq   8.82   7.44
166  1bcu   3.28   4.11
167  3bv9   5.36   8.23
168  1oyt   7.24   7.47
169  2zda   8.40   7.08
170  3utu  10.92  11.65
171  3u9q   4.38   4.23
172  2yfe   6.63   6.45
173  3fur   8.00   9.01
174  3b1m   8.48   8.53
175  2p4y   9.00   7.95
176  3uo4   6.52   6.99
177  3up2   7.40   6.28
178  3e5a   8.23   7.37
179  2wtv   8.74   7.76
180  3myg  10.70   7.51
181  3kgp   2.57   2.18
182  1c5z   4.01   4.81
183  1o5b   5.77   6.49
184  1owh   7.40   6.52
185  1sqa   9.21   7.34
186  4jsz   2.30   6.48
187  3kwa   4.08   4.10
188  2weg   6.50   7.17
189  3ryj   7.80   8.34
190  3dd0   9.00   9.67
191  2xdl   3.10   5.66
192  3b27   5.16   6.96
193  1yc1   6.17   7.63
194  3rlr   7.52   8.58
195  2yki   9.46   9.96
196  1z95   7.12   9.60
197  3b68   8.40   9.32
198  3b5r   8.77  10.07
199  3b65   9.27   8.97
200  3g0w   9.52   8.81
201  4u4s   2.92   5.79
202  1p1q   4.89   6.05
203  1syi   5.44   7.06
204  1p1n   6.80   7.06
205  2al5   8.40   5.88
206  3g2z   2.36   3.88
207  3g31   2.89   4.88
208  4de2   4.12   5.72
209  4de3   5.52   3.92
210  4de1   5.96   4.85
211  1vso   4.72   5.79
212  4dld   5.82   6.92
213  3gbb   6.90   6.70
214  3fv2   8.11   7.67
215  3fv1   9.30   9.59
216  4mgd   4.69   6.65
217  2qe4   7.96   6.66
218  1qkt   9.04   6.28
219  2pog   9.54   6.34
220  2p15  10.30   7.96
221  2y5h   5.79   7.49
222  1lpg   7.09   8.49
223  2xbv   8.43   8.76
224  1z6e   9.72   9.96
225  1mq6  11.15   7.82
226  1nc3   5.00   8.34
227  1nc1   6.12   7.03
228  1y6r  10.11   8.69
229  4f2w  11.30   9.16
230  4f3c  11.82  11.05
231  1uto   2.27   3.24
232  4abg   3.57   4.11
233  3gy4   5.10   3.64
234  1k1i   6.58   7.61
235  1o3f   7.96   6.84
236  2yge   5.06   5.51
237  2fxs   6.06   6.15
238  2iwx   6.68   7.52
239  2wer   7.05   6.39
240  2vw5   8.52   7.33
241  4kzq   6.10   5.70
242  4kzu   6.50   7.22
243  4j21   7.41   6.70
244  4j3l   7.80   7.58
245  3kr8   8.10   7.98
246  2ymd   3.16   6.38
247  2wnc   6.32   7.00
248  2xys   7.42   7.14
249  2wn9   8.52   6.01
250  2x00  11.33   8.15
251  3ozt   4.13   7.79
252  3ozs   5.33   7.25
253  3oe5   6.88   7.86
254  3oe4   7.47   8.89
255  3nw9   9.00   8.96
256  3ao4   2.07   4.67
257  3zt2   2.84   4.62
258  3zsx   3.28   4.71
259  4cig   3.67   4.98
260  3zso   5.12   5.76
261  3n7a   3.70   5.82
262  4ciw   4.82   5.50
263  3n86   5.64   7.25
264  3n76   6.85   5.49
265  2xb8   7.59   7.11
266  4bkt   3.62   5.31
267  4w9c   4.65   6.38
268  4w9l   5.02   7.32
269  4w9i   5.96   6.24
270  4w9h   6.73   6.39
271  3nq9   4.03   3.86
272  3ueu   5.24   5.04
273  3uev   5.89   6.18
274  3uew   6.31   6.08
275  3uex   6.92   5.76
276  3lka   2.82   5.60
277  3ehy   5.85   7.05
278  3tsk   7.17   6.26
279  3nx7   8.10   6.68
280  4gr0   9.55  10.69
281  3dxg   2.40   4.65
282  3d6q   3.76   4.42
283  1w4o   5.22   5.07
284  1o0h   5.92   6.07
285  1u1b   7.80   6.97

Summary of the scoring power: ===================================
The regression equation: logKa = 1.00 + -0.32 * Score
Number of favorable sample (N) = 285
Pearson correlation coefficient (R) = 0.718
Standard deviation in fitting (SD) = 1.51
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("SF_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,285,2);
for(i in 1:285);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
