     code  logKa  score
1    4llx   2.89   3.51
2    5c28   5.66   5.88
3    3uuo   7.96   5.93
4    3ui7   9.00   5.93
5    5c2h  11.09   6.39
6    2v00   3.66   6.04
7    3wz8   5.82   8.53
8    3pww   7.32   7.64
9    3prs   7.82   9.71
10   3uri   9.00   7.83
11   4m0z   5.19   6.51
12   4m0y   6.46   5.82
13   3qgy   7.80   6.97
14   4qd6   8.64   7.49
15   4rfm  10.05   8.41
16   4cr9   4.10   3.90
17   4cra   7.22   8.75
18   4x6p   8.30   8.47
19   4crc   8.72   8.06
20   4ty7   9.52   6.70
21   5aba   2.98   6.81
22   5a7b   3.57   8.79
23   4agn   3.97   5.87
24   4agp   4.69   6.35
25   4agq   5.01   6.37
26   3bgz   6.26   5.60
27   3jya   6.89   5.15
28   2c3i   7.60   6.69
29   4k18   8.96   7.11
30   5dwr  11.22   6.42
31   3mss   4.66   5.66
32   3k5v   6.30   7.10
33   3pyy   6.86   6.34
34   2v7a   8.30   6.84
35   4twp  10.00   8.56
36   3wtj   6.53   5.80
37   3zdg   7.10   5.61
38   3u8k   8.66   6.08
39   4qac   9.40   7.90
40   3u8n  10.17   6.58
41   1a30   4.30   6.30
42   2qnq   6.11   6.55
43   1g2k   7.96   9.68
44   1eby   9.70   9.21
45   3o9i  11.82  11.37
46   4lzs   4.80   5.27
47   3u5j   5.61   7.13
48   4wiv   6.26   6.59
49   4ogj   6.79   6.65
50   3p5o   7.30   6.52
51   1ps3   2.28   4.42
52   3dx1   3.58   6.46
53   3d4z   4.89   5.17
54   3dx2   6.82   6.92
55   3ejr   8.57   7.42
56   3l7b   2.40   4.76
57   4eky   3.52   6.26
58   3g2n   4.09   5.40
59   3syr   5.10   5.63
60   3ebp   5.91   5.72
61   2w66   4.05   5.43
62   2w4x   4.85   5.38
63   2wca   5.60   6.47
64   2xj7   6.66   6.40
65   2vvn   7.30   7.41
66   3aru   3.22   6.27
67   3arv   5.64   6.40
68   3ary   6.00   5.48
69   3arq   6.40   5.73
70   3arp   7.15  10.01
71   4ih5   4.11   5.09
72   4ih7   5.24   5.37
73   3cj4   6.51   4.30
74   4eo8   8.15   6.35
75   3gnw   9.10   8.66
76   1gpk   5.37   6.08
77   1gpn   6.48   6.92
78   1h23   8.35   8.63
79   1h22   9.10   8.82
80   1e66   9.89   8.23
81   3f3a   4.19   6.70
82   3f3c   6.02   6.45
83   4mme   6.50   6.01
84   3f3d   7.16   5.34
85   3f3e   7.70   5.82
86   2wbg   4.45   6.31
87   2cbv   5.48   7.44
88   2j78   6.42   5.18
89   2j7h   7.19   6.59
90   2cet   8.02   9.30
91   3udh   2.85   5.27
92   3rsx   4.41   7.78
93   4djv   6.72   6.94
94   2vkm   8.74   8.45
95   4gid  10.77   9.09
96   4jfs   5.27   6.26
97   4j28   5.70   6.65
98   2wvt   6.12   6.72
99   2xii   7.20   8.74
100  4pcs   7.85   6.79
101  3rr4   4.55   7.33
102  1s38   5.15   6.08
103  1r5y   6.46   7.30
104  3gc5   7.26   7.62
105  3ge7   8.70   7.22
106  4dli   5.62   5.76
107  2zb1   6.32   7.42
108  4f9w   6.94   6.68
109  3e92   8.00   7.50
110  3e93   8.85   7.77
111  4owm   2.96   3.27
112  3twp   3.92   3.39
113  3r88   4.82   3.96
114  4gkm   5.17   5.07
115  3qqs   5.82   4.57
116  3gv9   2.12   4.26
117  3gr2   2.52   4.59
118  4kz6   3.10   5.00
119  4jxs   4.74   5.21
120  2r9w   5.10   5.19
121  2hb1   3.80   6.10
122  1bzc   4.92   4.61
123  2qbr   6.33   6.88
124  2qbq   7.44   5.11
125  2qbp   8.40   6.63
126  1q8t   4.76   5.58
127  1ydr   5.52   6.26
128  1q8u   5.96   7.07
129  1ydt   7.32   7.14
130  3ag9   8.05   8.08
131  3fcq   2.77   4.29
132  1z9g   5.64   6.07
133  1qf1   7.32   6.76
134  5tmn   8.04   6.89
135  4tmn  10.17   7.25
136  4ddk   2.29   3.11
137  4ddh   3.32   4.45
138  3ivg   4.30   5.25
139  3coz   5.57   6.23
140  3coy   6.02   7.30
141  3pxf   4.43   5.36
142  4eor   6.30   8.29
143  2xnb   6.83   6.06
144  1pxn   7.15   5.55
145  2fvd   8.52   6.77
146  4k77   6.63   5.89
147  4e5w   7.66   7.56
148  4ivb   8.72   7.18
149  4ivd   9.52   8.10
150  4ivc  10.00   8.75
151  4f09   6.70   5.72
152  4gfm   7.22   6.76
153  4hge   7.92   8.18
154  4e6q   8.36   6.58
155  4jia   9.22   7.11
156  2brb   4.86   6.26
157  2br1   5.14   6.87
158  3jvr   5.72   6.53
159  3jvs   6.54   5.38
160  1nvq   8.25   7.35
161  3acw   4.76   6.25
162  4ea2   6.44   6.10
163  2zcr   6.87   7.30
164  2zy1   7.40   4.86
165  2zcq   8.82   7.00
166  1bcu   3.28   4.23
167  3bv9   5.36   7.36
168  1oyt   7.24   6.70
169  2zda   8.40   7.45
170  3utu  10.92  10.90
171  3u9q   4.38   4.07
172  2yfe   6.63   6.15
173  3fur   8.00   9.22
174  3b1m   8.48   8.78
175  2p4y   9.00   7.26
176  3uo4   6.52   6.63
177  3up2   7.40   6.06
178  3e5a   8.23   7.19
179  2wtv   8.74   7.24
180  3myg  10.70   6.38
181  3kgp   2.57   3.53
182  1c5z   4.01   4.18
183  1o5b   5.77   6.00
184  1owh   7.40   6.23
185  1sqa   9.21   5.89
186  4jsz   2.30   5.77
187  3kwa   4.08   4.52
188  2weg   6.50   6.96
189  3ryj   7.80   9.53
190  3dd0   9.00   9.44
191  2xdl   3.10   5.81
192  3b27   5.16   5.49
193  1yc1   6.17   7.06
194  3rlr   7.52   7.75
195  2yki   9.46   9.38
196  1z95   7.12   8.19
197  3b68   8.40  10.43
198  3b5r   8.77   9.05
199  3b65   9.27   7.43
200  3g0w   9.52   9.48
201  4u4s   2.92   6.37
202  1p1q   4.89   5.10
203  1syi   5.44   6.97
204  1p1n   6.80   7.42
205  2al5   8.40   6.24
