     code  logKa  score
1    4llx   2.89   4.42
2    5c28   5.66   6.39
3    3uuo   7.96   6.48
4    3ui7   9.00   7.05
5    5c2h  11.09   8.26
6    2v00   3.66   4.95
7    3wz8   5.82   7.60
8    3pww   7.32   7.96
9    3prs   7.82   7.36
10   3uri   9.00   9.01
11   4m0z   5.19   6.69
12   4m0y   6.46   5.33
13   3qgy   7.80   7.24
14   4qd6   8.64   7.30
15   4rfm  10.05   8.78
16   4cr9   4.10   4.26
17   4cra   7.22   7.44
18   4x6p   8.30   9.30
19   4crc   8.72   9.02
20   4ty7   9.52   9.18
21   5aba   2.98   3.16
22   5a7b   3.57   4.12
23   4agn   3.97   3.47
24   4agp   4.69   5.07
25   4agq   5.01   5.16
26   3bgz   6.26   6.07
27   3jya   6.89   6.19
28   2c3i   7.60   7.49
29   4k18   8.96   8.21
30   5dwr  11.22  10.07
31   3mss   4.66   5.60
32   3k5v   6.30   6.01
33   3pyy   6.86   6.41
34   2v7a   8.30   6.85
35   4twp  10.00   9.21
36   3wtj   6.53   5.23
37   3zdg   7.10   6.74
38   3u8k   8.66   7.36
39   4qac   9.40   8.44
40   3u8n  10.17  10.19
41   1a30   4.30   4.23
42   2qnq   6.11   6.18
43   1g2k   7.96   7.48
44   1eby   9.70   8.89
45   3o9i  11.82  12.15
46   4lzs   4.80   5.38
47   3u5j   5.61   6.34
48   4wiv   6.26   5.64
49   4ogj   6.79   6.41
50   3p5o   7.30   7.54
51   1ps3   2.28   2.81
52   3dx1   3.58   1.96
53   3d4z   4.89   4.64
54   3dx2   6.82   3.77
55   3ejr   8.57   6.93
56   3l7b   2.40   4.11
57   4eky   3.52   4.79
58   3g2n   4.09   1.37
59   3syr   5.10   6.22
60   3ebp   5.91   5.65
61   2w66   4.05   5.25
62   2w4x   4.85   4.88
63   2wca   5.60   6.83
64   2xj7   6.66   5.29
65   2vvn   7.30   5.87
66   3aru   3.22   5.29
67   3arv   5.64   5.58
68   3ary   6.00   5.68
69   3arq   6.40   7.34
70   3arp   7.15   7.93
71   4ih5   4.11   4.37
72   4ih7   5.24   4.84
73   3cj4   6.51   5.84
74   4eo8   8.15   6.89
75   3gnw   9.10   8.73
76   1gpk   5.37   4.62
77   1gpn   6.48   5.83
78   1h23   8.35   7.25
79   1h22   9.10   6.75
80   1e66   9.89   9.56
81   3f3a   4.19   3.11
82   3f3c   6.02   6.12
83   4mme   6.50   6.30
84   3f3d   7.16   7.08
85   3f3e   7.70   6.59
86   2wbg   4.45   5.08
87   2cbv   5.48   6.95
88   2j78   6.42   7.10
89   2j7h   7.19   6.12
90   2cet   8.02   6.68
91   3udh   2.85   4.51
92   3rsx   4.41   5.11
93   4djv   6.72   6.40
94   2vkm   8.74  10.16
95   4gid  10.77  10.46
96   4jfs   5.27   6.23
97   4j28   5.70   6.37
98   2wvt   6.12   7.33
99   2xii   7.20   8.42
100  4pcs   7.85   8.16
101  3rr4   4.55   5.70
102  1s38   5.15   5.05
103  1r5y   6.46   6.58
104  3gc5   7.26   8.07
105  3ge7   8.70   9.38
106  4dli   5.62   6.62
