     code  logKa  score
1    4llx   2.89   4.22
2    5c28   5.66   5.79
3    3uuo   7.96   6.23
4    3ui7   9.00   6.86
5    5c2h  11.09   8.83
6    2v00   3.66   4.94
7    3wz8   5.82   7.08
8    3pww   7.32   9.30
9    3prs   7.82   8.12
10   3uri   9.00   9.16
11   4m0z   5.19   6.84
12   4m0y   6.46   5.28
13   3qgy   7.80   7.71
14   4qd6   8.64   7.36
15   4rfm  10.05   8.58
16   4cr9   4.10   4.70
17   4cra   7.22   8.20
18   4x6p   8.30   8.85
19   4crc   8.72   8.62
20   4ty7   9.52   9.86
21   5aba   2.98   2.88
22   5a7b   3.57   3.20
23   4agn   3.97   3.65
24   4agp   4.69   4.32
25   4agq   5.01   5.13
26   3bgz   6.26   5.85
27   3jya   6.89   6.57
28   2c3i   7.60   7.88
29   4k18   8.96   9.48
30   5dwr  11.22   9.72
31   3mss   4.66   5.60
32   3k5v   6.30   6.68
33   3pyy   6.86   7.00
34   2v7a   8.30   7.16
35   4twp  10.00   9.70
36   3wtj   6.53   5.64
37   3zdg   7.10   7.85
38   3u8k   8.66   8.21
39   4qac   9.40   9.10
40   3u8n  10.17   9.77
41   1a30   4.30   4.86
42   2qnq   6.11   6.75
43   1g2k   7.96   9.14
44   1eby   9.70   9.78
45   3o9i  11.82  12.54
46   4lzs   4.80   5.76
47   3u5j   5.61   6.33
48   4wiv   6.26   5.49
49   4ogj   6.79   6.45
50   3p5o   7.30   6.96
51   1ps3   2.28   4.33
52   3dx1   3.58   3.24
53   3d4z   4.89   5.63
54   3dx2   6.82   5.27
55   3ejr   8.57   8.15
56   3l7b   2.40   4.77
57   4eky   3.52   7.05
58   3g2n   4.09   2.45
59   3syr   5.10   5.71
60   3ebp   5.91   5.66
61   2w66   4.05   5.39
62   2w4x   4.85   4.83
63   2wca   5.60   7.47
64   2xj7   6.66   6.41
65   2vvn   7.30   6.62
66   3aru   3.22   5.75
67   3arv   5.64   5.30
68   3ary   6.00   4.96
69   3arq   6.40   7.64
70   3arp   7.15   8.55
71   4ih5   4.11   4.34
72   4ih7   5.24   5.74
73   3cj4   6.51   4.78
74   4eo8   8.15   7.10
75   3gnw   9.10   9.20
76   1gpk   5.37   5.30
77   1gpn   6.48   7.27
78   1h23   8.35   7.84
79   1h22   9.10   7.87
80   1e66   9.89   9.74
81   3f3a   4.19   4.83
82   3f3c   6.02   6.17
83   4mme   6.50   7.53
84   3f3d   7.16   7.00
85   3f3e   7.70   7.38
86   2wbg   4.45   6.40
87   2cbv   5.48   7.82
88   2j78   6.42   7.81
89   2j7h   7.19   6.51
90   2cet   8.02   7.77
91   3udh   2.85   4.16
92   3rsx   4.41   4.81
93   4djv   6.72   6.68
94   2vkm   8.74  10.10
95   4gid  10.77  10.74
96   4jfs   5.27   6.75
97   4j28   5.70   7.25
98   2wvt   6.12   6.37
99   2xii   7.20   8.45
100  4pcs   7.85   8.85
101  3rr4   4.55   6.31
102  1s38   5.15   5.46
103  1r5y   6.46   6.06
104  3gc5   7.26   7.22
105  3ge7   8.70   8.56
106  4dli   5.62   6.37
107  2zb1   6.32   7.90
108  4f9w   6.94   7.25
109  3e92   8.00   7.82
110  3e93   8.85   8.95
111  4owm   2.96   3.55
112  3twp   3.92   4.12
113  3r88   4.82   4.78
114  4gkm   5.17   5.99
115  3qqs   5.82   5.32
116  3gv9   2.12   4.23
117  3gr2   2.52   4.29
118  4kz6   3.10   4.80
119  4jxs   4.74   5.08
120  2r9w   5.10   4.85
121  2hb1   3.80   4.15
122  1bzc   4.92   3.80
123  2qbr   6.33   6.23
124  2qbq   7.44   7.25
125  2qbp   8.40   8.48
126  1q8t   4.76   5.88
127  1ydr   5.52   6.29
128  1q8u   5.96   6.81
129  1ydt   7.32   7.10
130  3ag9   8.05   8.72
131  3fcq   2.77   3.91
132  1z9g   5.64   6.37
133  1qf1   7.32   7.08
134  5tmn   8.04   8.97
135  4tmn  10.17  10.42
136  4ddk   2.29   2.87
137  4ddh   3.32   5.87
138  3ivg   4.30   5.55
139  3coz   5.57   4.97
140  3coy   6.02   6.59
141  3pxf   4.43   5.41
142  4eor   6.30   7.08
143  2xnb   6.83   7.19
144  1pxn   7.15   5.61
145  2fvd   8.52   8.34
146  4k77   6.63   6.28
147  4e5w   7.66   9.03
148  4ivb   8.72   8.81
149  4ivd   9.52   9.72
150  4ivc  10.00   9.93
151  4f09   6.70   6.63
152  4gfm   7.22   7.12
153  4hge   7.92   7.44
154  4e6q   8.36   7.53
155  4jia   9.22   7.96
156  2brb   4.86   6.53
157  2br1   5.14   6.67
158  3jvr   5.72   6.18
159  3jvs   6.54   6.78
160  1nvq   8.25   8.66
161  3acw   4.76   6.70
162  4ea2   6.44   7.03
163  2zcr   6.87   6.45
164  2zy1   7.40   6.69
165  2zcq   8.82   7.93
166  1bcu   3.28   3.36
167  3bv9   5.36   6.62
168  1oyt   7.24   7.30
169  2zda   8.40   7.19
170  3utu  10.92  10.90
171  3u9q   4.38   4.42
172  2yfe   6.63   6.49
173  3fur   8.00   9.94
174  3b1m   8.48   9.50
175  2p4y   9.00   7.21
176  3uo4   6.52   7.42
177  3up2   7.40   7.89
178  3e5a   8.23   7.86
179  2wtv   8.74   8.15
180  3myg  10.70   9.77
181  3kgp   2.57   2.96
182  1c5z   4.01   5.58
183  1o5b   5.77   7.97
184  1owh   7.40   7.79
185  1sqa   9.21   8.40
186  4jsz   2.30   2.07
187  3kwa   4.08   4.58
188  2weg   6.50   7.02
189  3ryj   7.80   7.63
190  3dd0   9.00   9.06
191  2xdl   3.10   6.46
192  3b27   5.16   5.61
193  1yc1   6.17   7.82
194  3rlr   7.52   8.40
195  2yki   9.46   9.55
196  1z95   7.12   8.04
197  3b68   8.40   8.49
198  3b5r   8.77   8.74
199  3b65   9.27   8.64
200  3g0w   9.52   9.94
201  4u4s   2.92   6.92
202  1p1q   4.89   6.78
203  1syi   5.44   7.45
204  1p1n   6.80   7.38
205  2al5   8.40   7.40
206  3g2z   2.36   3.40
207  3g31   2.89   4.44
208  4de2   4.12   4.67
209  4de3   5.52   5.67
210  4de1   5.96   5.19
211  1vso   4.72   5.51
212  4dld   5.82   6.61
213  3gbb   6.90   7.79
214  3fv2   8.11   8.81
215  3fv1   9.30  11.36
216  4mgd   4.69   6.26
217  2qe4   7.96   7.38
218  1qkt   9.04   5.52
219  2pog   9.54   6.35
220  2p15  10.30   9.68
221  2y5h   5.79   6.65
222  1lpg   7.09   8.36
223  2xbv   8.43   8.51
224  1z6e   9.72   9.35
225  1mq6  11.15  10.26
226  1nc3   5.00   7.24
227  1nc1   6.12   6.01
228  1y6r  10.11   8.45
229  4f2w  11.30  10.73
