     code  logKa  score
1    4llx   2.89   3.96
2    5c28   5.66   5.46
3    3uuo   7.96   5.47
4    3ui7   9.00   6.19
5    5c2h  11.09   7.73
6    2v00   3.66   4.54
7    3wz8   5.82   7.26
8    3pww   7.32   8.61
9    3prs   7.82   8.28
10   3uri   9.00   8.18
11   4m0z   5.19   6.90
12   4m0y   6.46   4.94
13   3qgy   7.80   7.00
14   4qd6   8.64   7.10
15   4rfm  10.05   8.57
16   4cr9   4.10   4.67
17   4cra   7.22   6.94
18   4x6p   8.30   9.52
19   4crc   8.72   8.74
20   4ty7   9.52   8.41
21   5aba   2.98   3.37
22   5a7b   3.57   4.79
23   4agn   3.97   3.70
24   4agp   4.69   4.54
25   4agq   5.01   4.69
26   3bgz   6.26   5.92
27   3jya   6.89   6.08
28   2c3i   7.60   7.33
29   4k18   8.96   8.20
30   5dwr  11.22   8.13
31   3mss   4.66   5.89
32   3k5v   6.30   7.32
33   3pyy   6.86   6.09
34   2v7a   8.30   6.39
35   4twp  10.00   9.15
36   3wtj   6.53   5.88
37   3zdg   7.10   6.07
38   3u8k   8.66   6.72
39   4qac   9.40   7.71
40   3u8n  10.17   9.60
41   1a30   4.30   5.00
42   2qnq   6.11   6.25
43   1g2k   7.96   8.12
44   3o9i  11.82  12.12
45   4lzs   4.80   5.31
46   3u5j   5.61   5.97
47   4wiv   6.26   5.86
48   4ogj   6.79   5.96
49   3p5o   7.30   7.30
50   1ps3   2.28   3.54
51   3dx1   3.58   5.65
52   3d4z   4.89   5.22
53   3dx2   6.82   7.66
54   3ejr   8.57   8.22
55   3l7b   2.40   4.16
56   4eky   3.52   5.54
57   3g2n   4.09   3.78
58   3syr   5.10   4.90
59   3ebp   5.91   6.65
60   2w66   4.05   4.92
61   2w4x   4.85   4.95
62   2wca   5.60   6.57
63   2xj7   6.66   5.75
64   2vvn   7.30   6.28
65   3aru   3.22   6.11
66   3arv   5.64   5.74
67   3ary   6.00   6.41
68   3arq   6.40   7.80
69   3arp   7.15   8.86
70   4ih5   4.11   4.49
71   4ih7   5.24   4.50
72   3cj4   6.51   5.74
73   4eo8   8.15   6.84
74   3gnw   9.10   7.51
75   1gpk   5.37   5.42
76   1gpn   6.48   6.33
77   1e66   9.89   8.60
78   3f3a   4.19   4.73
79   3f3c   6.02   6.60
80   4mme   6.50   6.80
81   3f3d   7.16   6.69
82   3f3e   7.70   6.19
83   2wbg   4.45   6.51
84   2cbv   5.48   5.46
85   2j78   6.42   6.11
86   2j7h   7.19   5.66
87   2cet   8.02   7.01
88   3udh   2.85   5.16
89   3rsx   4.41   5.05
90   4djv   6.72   6.92
91   2vkm   8.74  10.09
92   4gid  10.77   9.76
93   4jfs   5.27   6.55
94   4j28   5.70   6.18
95   2wvt   6.12   7.33
96   2xii   7.20   9.06
97   4pcs   7.85   8.57
98   3rr4   4.55   6.05
99   1s38   5.15   5.58
100  1r5y   6.46   6.16
101  3gc5   7.26   6.36
102  3ge7   8.70   7.93
103  4dli   5.62   6.02
104  2zb1   6.32   6.80
105  3e92   8.00   7.67
106  3e93   8.85   7.37
107  4owm   2.96   3.58
108  3twp   3.92   3.53
109  3r88   4.82   4.64
110  4gkm   5.17   5.83
111  3qqs   5.82   5.14
112  3gv9   2.12   3.94
113  3gr2   2.52   4.65
114  4kz6   3.10   4.70
115  4jxs   4.74   5.98
116  2r9w   5.10   3.90
117  2hb1   3.80   5.31
118  1bzc   4.92   4.36
119  2qbr   6.33   6.36
120  2qbq   7.44   7.75
121  2qbp   8.40   7.79
122  1q8t   4.76   5.11
123  1ydr   5.52   5.19
124  1q8u   5.96   6.49
125  1ydt   7.32   6.52
126  3ag9   8.05   8.11
127  3fcq   2.77   4.66
128  1z9g   5.64   6.11
129  1qf1   7.32   7.20
130  5tmn   8.04   9.06
131  4tmn  10.17   9.93
132  4ddk   2.29   3.77
133  4ddh   3.32   4.61
134  3ivg   4.30   5.49
135  3coz   5.57   5.55
136  3coy   6.02   6.11
137  3pxf   4.43   3.81
138  4eor   6.30   8.03
139  2xnb   6.83   6.57
140  1pxn   7.15   6.19
141  2fvd   8.52   7.85
142  4k77   6.63   5.77
143  4e5w   7.66   6.73
144  4ivb   8.72   8.65
145  4ivd   9.52   9.91
146  4ivc  10.00   9.79
147  4f09   6.70   6.13
148  4gfm   7.22   7.48
149  4hge   7.92   6.30
150  4e6q   8.36   6.88
151  4jia   9.22   7.99
152  2brb   4.86   6.40
153  2br1   5.14   6.47
154  3jvr   5.72   6.05
155  3jvs   6.54   6.54
156  1nvq   8.25   7.47
157  3acw   4.76   6.29
158  4ea2   6.44   7.27
159  2zcr   6.87   6.83
160  2zy1   7.40   6.54
161  2zcq   8.82   7.82
162  1bcu   3.28   3.68
163  3bv9   5.36   5.59
164  1oyt   7.24   7.18
165  2zda   8.40   7.02
166  3utu  10.92  11.29
167  3u9q   4.38   4.85
168  2yfe   6.63   6.03
169  3fur   8.00   8.48
170  3b1m   8.48   8.52
171  2p4y   9.00   6.69
172  3uo4   6.52   6.73
173  3up2   7.40   7.02
174  3e5a   8.23   7.57
175  2wtv   8.74   8.08
176  3myg  10.70   8.95
177  3kgp   2.57   3.12
178  1c5z   4.01   4.79
179  1o5b   5.77   5.82
180  1owh   7.40   6.60
181  1sqa   9.21   7.45
182  4jsz   2.30   2.89
183  3kwa   4.08   5.44
184  2weg   6.50   6.48
185  3ryj   7.80   7.83
186  3dd0   9.00   8.94
187  2xdl   3.10   5.63
188  3b27   5.16   6.20
189  1yc1   6.17   7.82
190  3rlr   7.52   8.13
191  2yki   9.46   9.11
192  1z95   7.12   8.83
193  3b68   8.40   7.97
194  3b5r   8.77   8.16
195  3b65   9.27   8.71
196  3g0w   9.52   9.11
197  4u4s   2.92   5.87
198  1p1q   4.89   5.45
