     code  logKa  score
1    4llx   2.89   4.66
2    5c28   5.66   5.68
3    3uuo   7.96   5.93
4    3ui7   9.00   6.44
5    5c2h  11.09   7.27
6    2v00   3.66   4.93
7    3wz8   5.82   6.84
8    3pww   7.32   7.82
9    3prs   7.82   7.77
10   3uri   9.00   8.13
11   4m0z   5.19   6.17
12   4m0y   6.46   5.25
13   3qgy   7.80   6.35
14   4qd6   8.64   6.99
15   4rfm  10.05   7.96
16   4cr9   4.10   4.99
17   4cra   7.22   7.68
18   4x6p   8.30   8.73
19   4crc   8.72   8.47
20   4ty7   9.52   7.03
21   5aba   2.98   5.99
22   5a7b   3.57   5.44
23   4agn   3.97   3.76
24   4agp   4.69   4.75
25   4agq   5.01   4.63
26   3bgz   6.26   6.22
27   3jya   6.89   5.44
28   2c3i   7.60   6.74
29   4k18   8.96   7.36
30   5dwr  11.22   7.88
31   3mss   4.66   5.86
32   3k5v   6.30   6.28
33   3pyy   6.86   6.19
34   2v7a   8.30   6.89
35   4twp  10.00   8.38
36   3wtj   6.53   7.11
37   3zdg   7.10   6.26
38   3u8k   8.66   6.81
39   4qac   9.40   7.92
40   3u8n  10.17   7.94
41   1a30   4.30   4.78
42   2qnq   6.11   7.48
43   1g2k   7.96   8.91
44   1eby   9.70   9.35
45   3o9i  11.82  10.79
46   4lzs   4.80   5.17
47   3u5j   5.61   6.62
48   4wiv   6.26   6.21
49   4ogj   6.79   6.23
50   3p5o   7.30   7.00
51   1ps3   2.28   4.09
52   3dx1   3.58   4.96
53   3d4z   4.89   5.87
54   3dx2   6.82   7.24
55   3ejr   8.57   8.07
56   3l7b   2.40   4.86
57   4eky   3.52   6.93
58   3g2n   4.09   4.95
59   3syr   5.10   5.10
60   3ebp   5.91   7.57
61   2w66   4.05   5.85
62   2w4x   4.85   6.39
63   2wca   5.60   6.95
64   2xj7   6.66   5.62
65   2vvn   7.30   6.20
66   3aru   3.22   5.91
67   3arv   5.64   6.61
68   3ary   6.00   6.73
69   3arq   6.40   6.05
70   3arp   7.15   8.75
71   4ih5   4.11   4.78
72   4ih7   5.24   4.29
73   3cj4   6.51   6.41
74   4eo8   8.15   6.47
75   3gnw   9.10   8.76
76   1gpk   5.37   5.37
77   1gpn   6.48   6.45
78   1h23   8.35   8.56
79   1h22   9.10   8.34
80   1e66   9.89   8.15
81   3f3a   4.19   4.91
82   3f3c   6.02   5.76
83   4mme   6.50   6.93
84   3f3d   7.16   5.11
85   3f3e   7.70   5.16
86   2wbg   4.45   6.21
87   2cbv   5.48   6.75
88   2j78   6.42   5.09
89   2j7h   7.19   6.03
90   2cet   8.02   8.07
91   3udh   2.85   4.76
92   3rsx   4.41   5.38
93   4djv   6.72   7.41
94   2vkm   8.74   9.58
95   4gid  10.77   9.08
96   4jfs   5.27   5.23
97   4j28   5.70   5.49
98   2wvt   6.12   7.16
99   2xii   7.20   7.50
100  4pcs   7.85   7.17
101  3rr4   4.55   5.84
102  1s38   5.15   6.16
103  1r5y   6.46   5.39
104  3gc5   7.26   7.60
105  3ge7   8.70   7.29
106  4dli   5.62   6.45
107  2zb1   6.32   6.89
108  4f9w   6.94   6.28
109  3e92   8.00   7.14
110  3e93   8.85   8.18
111  4owm   2.96   4.51
112  3twp   3.92   4.06
113  3r88   4.82   4.01
114  4gkm   5.17   5.72
115  3qqs   5.82   5.52
116  3gv9   2.12   3.50
117  3gr2   2.52   4.50
118  4kz6   3.10   4.76
119  4jxs   4.74   5.35
120  2r9w   5.10   4.60
121  2hb1   3.80   5.30
122  1bzc   4.92   5.78
123  2qbr   6.33   6.32
124  2qbq   7.44   6.88
125  2qbp   8.40   7.49
126  1q8t   4.76   5.42
127  1ydr   5.52   6.51
128  1q8u   5.96   6.76
129  1ydt   7.32   8.22
130  3ag9   8.05   7.66
131  3fcq   2.77   4.97
132  1z9g   5.64   5.33
133  1qf1   7.32   7.13
134  5tmn   8.04   7.54
135  4tmn  10.17   7.62
136  4ddk   2.29   4.41
137  4ddh   3.32   4.04
138  3ivg   4.30   5.34
139  3coz   5.57   5.76
140  3coy   6.02   5.83
141  3pxf   4.43   5.01
142  4eor   6.30   8.32
143  2xnb   6.83   6.71
144  1pxn   7.15   6.15
145  2fvd   8.52   7.78
146  4k77   6.63   5.90
147  4e5w   7.66   7.56
148  4ivb   8.72   7.28
149  4ivd   9.52   8.64
150  4ivc  10.00   9.27
151  4f09   6.70   6.07
152  4gfm   7.22   7.27
153  4hge   7.92   7.91
154  4e6q   8.36   6.20
155  4jia   9.22   6.39
156  2brb   4.86   6.59
157  2br1   5.14   6.43
158  3jvr   5.72   6.47
159  3jvs   6.54   6.10
160  1nvq   8.25   7.08
161  3acw   4.76   6.75
162  4ea2   6.44   6.54
163  2zcr   6.87   7.27
164  2zy1   7.40   5.55
165  2zcq   8.82   9.66
166  1bcu   3.28   4.10
167  3bv9   5.36   6.15
168  1oyt   7.24   6.49
169  2zda   8.40   6.70
170  3utu  10.92   9.78
171  3u9q   4.38   4.74
172  2yfe   6.63   5.94
173  3fur   8.00   8.53
174  3b1m   8.48   8.37
175  2p4y   9.00   6.89
176  3uo4   6.52   7.13
177  3up2   7.40   7.33
178  3e5a   8.23   7.64
179  2wtv   8.74   7.07
180  3myg  10.70   7.27
181  3kgp   2.57   3.44
182  1c5z   4.01   5.16
183  1o5b   5.77   6.13
184  1owh   7.40   5.41
185  1sqa   9.21   6.95
186  4jsz   2.30   5.00
187  3kwa   4.08   3.81
188  2weg   6.50   8.36
189  3ryj   7.80   8.24
190  3dd0   9.00  10.32
191  2xdl   3.10   5.19
192  3b27   5.16   5.52
193  1yc1   6.17   5.93
194  3rlr   7.52   7.95
195  2yki   9.46   8.90
