     code  logKa  score
1    4llx   2.89   4.35
2    5c28   5.66   6.02
3    3uuo   7.96   6.43
4    3ui7   9.00   6.94
5    5c2h  11.09   8.65
6    2v00   3.66   4.96
7    3wz8   5.82   7.56
8    3pww   7.32   8.18
9    3prs   7.82   7.77
10   3uri   9.00   9.48
11   4m0z   5.19   6.45
12   4m0y   6.46   5.34
13   3qgy   7.80   7.05
14   4qd6   8.64   7.47
15   4rfm  10.05   9.11
16   4cr9   4.10   4.15
17   4cra   7.22   7.35
18   4x6p   8.30   9.03
19   4crc   8.72   8.98
20   4ty7   9.52   9.37
21   5aba   2.98   3.38
22   5a7b   3.57   4.46
23   4agn   3.97   3.89
24   4agp   4.69   5.03
25   4agq   5.01   5.00
26   3bgz   6.26   5.96
27   3jya   6.89   6.19
28   2c3i   7.60   7.58
29   4k18   8.96   8.44
30   5dwr  11.22   9.90
31   3mss   4.66   5.57
32   3k5v   6.30   6.22
33   3pyy   6.86   6.41
34   2v7a   8.30   6.76
35   4twp  10.00   9.39
36   3wtj   6.53   5.44
37   3zdg   7.10   6.73
38   3u8k   8.66   7.72
39   4qac   9.40   8.48
40   3u8n  10.17  10.37
41   1a30   4.30   4.71
42   2qnq   6.11   6.14
43   1g2k   7.96   8.00
44   3o9i  11.82  12.07
45   4lzs   4.80   5.60
46   3u5j   5.61   6.27
47   4wiv   6.26   5.70
48   4ogj   6.79   6.29
49   3p5o   7.30   7.48
50   1ps3   2.28   2.80
51   3dx1   3.58   2.48
52   3d4z   4.89   5.27
53   3dx2   6.82   4.61
54   3ejr   8.57   6.63
55   3l7b   2.40   4.54
56   4eky   3.52   5.51
57   3g2n   4.09   2.09
58   3syr   5.10   6.35
59   3ebp   5.91   5.72
60   2w66   4.05   5.19
61   2w4x   4.85   4.97
62   2wca   5.60   6.71
63   2xj7   6.66   5.60
64   2vvn   7.30   6.60
65   3aru   3.22   5.40
66   3arv   5.64   5.58
67   3ary   6.00   5.90
68   3arq   6.40   7.18
69   3arp   7.15   8.22
70   4ih5   4.11   4.24
71   4ih7   5.24   5.19
72   3cj4   6.51   6.35
73   4eo8   8.15   7.11
74   3gnw   9.10   9.22
75   1gpk   5.37   4.99
76   1gpn   6.48   6.40
77   1e66   9.89  10.49
78   3f3a   4.19   3.49
79   3f3c   6.02   6.22
80   4mme   6.50   6.31
81   3f3d   7.16   7.26
82   3f3e   7.70   6.89
83   2wbg   4.45   5.70
84   2cbv   5.48   6.95
85   2j78   6.42   7.45
86   2j7h   7.19   6.63
87   2cet   8.02   7.35
88   3udh   2.85   4.77
89   3rsx   4.41   4.94
90   4djv   6.72   6.45
91   2vkm   8.74   9.84
92   4gid  10.77  10.47
93   4jfs   5.27   6.07
94   4j28   5.70   6.48
95   2wvt   6.12   7.24
96   2xii   7.20   7.87
97   4pcs   7.85   8.29
98   3rr4   4.55   5.83
99   1s38   5.15   5.50
100  1r5y   6.46   6.33
101  3gc5   7.26   7.44
102  3ge7   8.70   8.73
103  4dli   5.62   6.39
104  2zb1   6.32   7.19
105  3e92   8.00   8.29
106  3e93   8.85   8.21
107  4owm   2.96   3.35
108  3twp   3.92   3.73
109  3r88   4.82   4.41
110  4gkm   5.17   5.65
111  3qqs   5.82   5.05
112  3gv9   2.12   3.53
113  3gr2   2.52   3.70
114  4kz6   3.10   4.38
115  4jxs   4.74   4.90
116  2r9w   5.10   4.72
117  2hb1   3.80   4.73
118  1bzc   4.92   4.54
119  2qbr   6.33   6.66
120  2qbq   7.44   7.03
121  2qbp   8.40   7.88
122  1q8t   4.76   5.43
123  1ydr   5.52   5.91
124  1q8u   5.96   6.79
125  1ydt   7.32   7.28
126  3ag9   8.05   8.97
127  3fcq   2.77   4.62
128  1z9g   5.64   6.38
129  1qf1   7.32   6.87
130  5tmn   8.04   9.04
131  4tmn  10.17  10.70
132  4ddk   2.29   3.01
133  4ddh   3.32   5.04
134  3ivg   4.30   4.23
135  3coz   5.57   5.00
136  3coy   6.02   6.51
137  3pxf   4.43   4.48
138  4eor   6.30   6.98
139  2xnb   6.83   6.61
140  1pxn   7.15   5.64
141  2fvd   8.52   8.47
142  4k77   6.63   6.03
143  4e5w   7.66   7.81
144  4ivb   8.72   8.42
145  4ivd   9.52   9.39
146  4ivc  10.00   9.65
147  4f09   6.70   6.24
148  4gfm   7.22   6.84
149  4hge   7.92   6.83
150  4e6q   8.36   6.97
151  4jia   9.22   7.81
152  2brb   4.86   6.42
153  2br1   5.14   6.61
154  3jvr   5.72   5.27
155  3jvs   6.54   6.71
156  1nvq   8.25   8.78
157  3acw   4.76   6.37
158  4ea2   6.44   6.44
159  2zcr   6.87   7.46
160  2zy1   7.40   6.15
161  2zcq   8.82   8.66
162  1bcu   3.28   3.70
163  3bv9   5.36   5.44
164  1oyt   7.24   7.08
165  2zda   8.40   7.14
166  3utu  10.92  10.42
167  3u9q   4.38   4.39
168  2yfe   6.63   6.53
169  3fur   8.00   9.72
170  3b1m   8.48   8.36
171  2p4y   9.00   7.45
172  3uo4   6.52   7.11
173  3up2   7.40   7.62
174  3e5a   8.23   7.60
175  2wtv   8.74   7.61
176  3myg  10.70   9.99
177  3kgp   2.57   3.07
178  1c5z   4.01   5.28
179  1o5b   5.77   6.86
180  1owh   7.40   7.46
181  1sqa   9.21   7.82
182  4jsz   2.30   2.66
183  3kwa   4.08   5.06
184  2weg   6.50   6.25
185  3ryj   7.80   7.69
186  3dd0   9.00   9.36
187  2xdl   3.10   5.68
188  3b27   5.16   6.34
189  1yc1   6.17   7.64
190  3rlr   7.52   8.23
191  2yki   9.46   8.63
192  1z95   7.12   7.82
193  3b68   8.40   7.96
194  3b5r   8.77   8.01
195  3b65   9.27   8.97
196  3g0w   9.52   9.25
197  4u4s   2.92   5.56
198  1p1q   4.89   5.63
199  1syi   5.44   7.15
200  1p1n   6.80   7.18
201  2al5   8.40   7.39
202  3g2z   2.36   3.23
203  3g31   2.89   4.36
204  4de2   4.12   4.19
205  4de3   5.52   4.63
206  4de1   5.96   5.70
207  1vso   4.72   5.95
208  4dld   5.82   6.30
209  3gbb   6.90   7.24
210  3fv2   8.11   8.33
211  3fv1   9.30  11.13
212  4mgd   4.69   5.82
213  2qe4   7.96   6.66
214  1qkt   9.04   5.85
215  2pog   9.54   6.27
216  2p15  10.30   8.93
217  2y5h   5.79   6.43
218  1lpg   7.09   7.32
219  2xbv   8.43   8.90
220  1z6e   9.72   9.56
221  1mq6  11.15  10.83
222  1nc3   5.00   7.95
223  1nc1   6.12   6.67
224  1y6r  10.11   8.82
225  4f2w  11.30  10.39
226  4f3c  11.82  11.57
227  1uto   2.27   4.02
228  4abg   3.57   4.27
229  3gy4   5.10   4.98
230  1k1i   6.58   6.54
231  1o3f   7.96   7.80
232  2yge   5.06   4.59
233  2fxs   6.06   6.00
234  2iwx   6.68   7.04
235  2wer   7.05   8.02
236  2vw5   8.52   7.63
237  4kzq   6.10   5.23
238  4kzu   6.50   6.86
239  4j21   7.41   6.45
240  4j3l   7.80   7.86
241  3kr8   8.10   6.68
242  2ymd   3.16   5.70
243  2wnc   6.32   6.76
244  2xys   7.42   7.42
245  2wn9   8.52   6.92
246  2x00  11.33   8.79
247  3ozt   4.13   4.71
248  3ozs   5.33   5.33
249  3oe5   6.88   7.08
250  3oe4   7.47   7.63
251  3nw9   9.00   6.47
252  3ao4   2.07   4.07
253  3zt2   2.84   3.64
254  3zsx   3.28   3.77
255  4cig   3.67   4.83
256  3zso   5.12   4.75
257  3n7a   3.70   5.77
258  4ciw   4.82   4.78
259  3n86   5.64   6.21
260  3n76   6.85   5.99
261  2xb8   7.59   5.31
262  4bkt   3.62   4.47
263  4w9c   4.65   5.21
264  4w9l   5.02   5.46
265  4w9i   5.96   5.28
266  4w9h   6.73   5.60
267  3nq9   4.03   4.12
268  3ueu   5.24   5.52
269  3uev   5.89   6.62
270  3uew   6.31   6.13
271  3uex   6.92   6.92
272  3lka   2.82   2.26
273  3ehy   5.85   5.40
274  3tsk   7.17   4.47
275  3nx7   8.10   7.64
276  4gr0   9.55   9.80
277  3dxg   2.40   4.05
278  3d6q   3.76   4.19
279  1w4o   5.22   5.87
280  1o0h   5.92   6.35
