     code  logKa  score
1    4llx   2.89   4.28
2    5c28   5.66   5.85
3    3uuo   7.96   6.22
4    3ui7   9.00   6.71
5    5c2h  11.09   8.45
6    2v00   3.66   4.88
7    3wz8   5.82   7.24
8    3pww   7.32   8.93
9    3prs   7.82   7.98
10   3uri   9.00   8.92
11   4m0z   5.19   6.72
12   4m0y   6.46   5.24
13   3qgy   7.80   7.52
14   4qd6   8.64   7.78
15   4rfm  10.05   9.60
16   4cr9   4.10   4.43
17   4cra   7.22   7.67
18   4x6p   8.30   9.48
19   4crc   8.72   9.06
20   4ty7   9.52   9.47
21   5aba   2.98   3.04
22   5a7b   3.57   4.34
23   4agn   3.97   4.07
24   4agp   4.69   4.86
25   4agq   5.01   5.06
26   3bgz   6.26   5.73
27   3jya   6.89   6.42
28   2c3i   7.60   7.79
29   4k18   8.96   8.54
30   5dwr  11.22   9.33
31   3mss   4.66   5.48
32   3k5v   6.30   6.78
33   3pyy   6.86   6.27
34   2v7a   8.30   6.64
35   4twp  10.00   9.11
36   3wtj   6.53   5.97
37   3zdg   7.10   7.27
38   3u8k   8.66   7.65
39   4qac   9.40   9.01
40   3u8n  10.17  10.03
41   1a30   4.30   5.10
42   2qnq   6.11   6.30
43   1g2k   7.96   8.49
44   3o9i  11.82  11.53
45   4lzs   4.80   5.50
46   3u5j   5.61   6.16
47   4wiv   6.26   5.50
48   4ogj   6.79   6.37
49   3p5o   7.30   6.86
50   1ps3   2.28   4.27
51   3dx1   3.58   3.69
52   3d4z   4.89   5.29
53   3dx2   6.82   5.33
54   3ejr   8.57   7.67
55   3l7b   2.40   4.78
56   4eky   3.52   6.52
57   3g2n   4.09   3.02
58   3syr   5.10   5.28
59   3ebp   5.91   5.43
60   2w66   4.05   5.33
61   2w4x   4.85   4.74
62   2wca   5.60   6.96
63   2xj7   6.66   5.91
64   2vvn   7.30   6.55
65   3aru   3.22   5.74
66   3arv   5.64   5.64
67   3ary   6.00   5.31
68   3arq   6.40   7.32
69   3arp   7.15   8.67
70   4ih5   4.11   4.29
71   4ih7   5.24   5.46
72   3cj4   6.51   4.89
73   4eo8   8.15   7.41
74   3gnw   9.10   8.88
75   1gpk   5.37   5.02
76   1gpn   6.48   6.73
77   1e66   9.89   9.97
78   3f3a   4.19   4.62
79   3f3c   6.02   6.31
80   4mme   6.50   7.03
81   3f3d   7.16   7.15
82   3f3e   7.70   7.03
83   2wbg   4.45   6.16
84   2cbv   5.48   7.39
85   2j78   6.42   7.25
86   2j7h   7.19   6.82
87   2cet   8.02   8.14
88   3udh   2.85   4.19
89   3rsx   4.41   5.15
90   4djv   6.72   7.31
91   2vkm   8.74  10.19
92   4gid  10.77  10.45
93   4jfs   5.27   6.48
94   4j28   5.70   6.96
95   2wvt   6.12   6.69
96   2xii   7.20   8.82
97   4pcs   7.85   8.85
98   3rr4   4.55   6.43
99   1s38   5.15   5.63
100  1r5y   6.46   6.30
101  3gc5   7.26   7.30
102  3ge7   8.70   8.20
103  4dli   5.62   6.22
104  2zb1   6.32   7.20
105  3e92   8.00   7.82
106  3e93   8.85   8.26
107  4owm   2.96   3.49
108  3twp   3.92   3.81
109  3r88   4.82   4.73
110  4gkm   5.17   5.70
111  3qqs   5.82   5.17
112  3gv9   2.12   4.14
113  3gr2   2.52   3.83
114  4kz6   3.10   4.72
115  4jxs   4.74   5.46
116  2r9w   5.10   4.50
117  2hb1   3.80   4.41
118  1bzc   4.92   4.42
119  2qbr   6.33   5.96
120  2qbq   7.44   7.01
121  2qbp   8.40   8.61
122  1q8t   4.76   5.56
123  1ydr   5.52   5.93
124  1q8u   5.96   7.05
125  1ydt   7.32   6.99
126  3ag9   8.05   7.77
127  3fcq   2.77   4.65
128  1z9g   5.64   5.92
129  1qf1   7.32   6.45
130  5tmn   8.04   9.07
131  4tmn  10.17  10.29
132  4ddk   2.29   2.92
133  4ddh   3.32   5.46
